,No,Original_Name,Japanese_Name,Generation,Generation_Str,Height_m,Weight_kg,BMI,Type_1,Type_2,Ability_1,Ability_2,Ability_Hidden,Color,Gender_Male,Gender_Female,Gender_Unknown,Egg_Steps,Egg_Group1,Egg_Group2,Capture_Rate,Base_EXP,Final_EXP,Category,Mega_Evolution_Flag,Region_Forme,HP,Attack,Defense,SP_Attack,SP_Defense,Speed,Total,Mean,PE_HP,PE_Attack,PE_Defense,PE_SP_Attack,PE_SP_Defense,PE_Speed,EV_yield,Base_Friendship,Growth_Rate,Egg_Cycle,Experience type,Experience to level 100,Final Evolution,Is_Legendary,Is_Sublegendary,Is_Mythical,Alolan Form,Galarian Form,Gigantamax,Mega_evolution,Mega_evolution_alt,Against Normal,Against Fire,Against Water,Against Electric,Against Grass,Against Ice,Against Fighting,Against Poison,Against Ground,Against Flying,Against Psychic,Against Bug,Against Rock,Against Ghost,Against Dragon,Against Dark,Against Steel,Against Fairy,Pokemon_Category,Evolution_type,Evochain_0,Evochain_1,Evochain_2,Evochain_3,Evochain_4,Evochain_5,Evochain_6,Description
Absol,359.0,Absol,Absol,3.0,III,1.2,47.0,32.6,Dark,,Pressure,Super Luck,Justified,White,50.0,50.0,0.0,25.0,Ground,,30.0,163.0,1058960.0,Ordinary,,,65.0,130.0,60.0,75.0,60.0,75.0,465.0,77.5,0.0,2.0,0.0,0.0,0.0,0.0,2 Attack,35.0,Medium Slow,25.0,Medium Slow,1059860.0,1.0,0.0,0.0,0.0,0.0,0.0,,Mega Absol,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,Disaster,No evolution,Absol,,,,,,,"Swift as the wind, Absol races through fields and mountains. Its curved, bow-like horn is acutely sensitive to the warning signs of natural disasters."
Wynaut,360.0,Wynaut,Sohnano,3.0,III,0.6,14.0,38.9,Psychic,,Shadow Tag,,Telepathy,Blue,50.0,50.0,0.0,20.0,Undiscovered,,125.0,52.0,1000000.0,Ordinary,,,95.0,23.0,48.0,23.0,48.0,23.0,260.0,43.333333333333336,1.0,0.0,0.0,0.0,0.0,0.0,1 HP,50.0,Medium Fast,20.0,Medium Fast,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,Bright,2 stages evolution,Wynaut,Level ,Wobbuffet,,,,,It tends to move in a pack. Individuals squash against one another to toughen their spirits.
Snorunt,361.0,Snorunt,Yukiwarashi,3.0,III,0.7,16.8,34.3,Ice,,Inner Focus,Ice Body,Moody,Gray,50.0,50.0,0.0,20.0,Fairy,Mineral,190.0,60.0,1000000.0,Ordinary,,,50.0,50.0,50.0,50.0,50.0,50.0,300.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,1 HP,50.0,Medium Fast,20.0,Medium Fast,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,2.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,Snow Hat,2 stages evolution with 2 forms,Snorunt,Level,Glalie,"On Female Pokémon, use Dawn Stone",Froslass,,,"It’s said that if they are seen at midnight, they’ll cause heavy snow. They eat snow and ice to survive."
Glalie(Mega EV),362.0,Glalie,,3.0,III,2.1,350.2,,Ice,,Refrigerate,,,Gray,50.0,50.0,0.0,20.0,Fairy,Mineral,75.0,203.0,1000000.0,Ordinary,Mega,,80.0,120.0,80.0,120.0,80.0,100.0,580.0,,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glalie,362.0,Glalie,Onigohri,3.0,III,1.5,256.5,114.0,Ice,,Inner Focus,Ice Body,Moody,Gray,50.0,50.0,0.0,20.0,Fairy,Mineral,75.0,168.0,1000000.0,Ordinary,,,80.0,80.0,80.0,80.0,80.0,80.0,480.0,80.0,2.0,0.0,0.0,0.0,0.0,0.0,2 HP,50.0,Medium Fast,20.0,Medium Fast,1000000.0,1.0,0.0,0.0,0.0,0.0,0.0,,Mega Glalie,,1.0,2.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,Face,2 stages evolution with 2 forms,Snorunt,Level,Glalie,"On Female Pokémon, use Dawn Stone",Froslass,,,"It has a body of ice that won’t melt, even with fire. It can instantly freeze moisture in the atmosphere."
Spheal,363.0,Spheal,Tamazarashi,3.0,III,0.8,39.5,61.7,Ice,Water,Thick Fat,Ice Body,Oblivious,Blue,50.0,50.0,0.0,20.0,Water1,Ground,255.0,58.0,1058960.0,Ordinary,,,70.0,40.0,50.0,55.0,50.0,25.0,290.0,48.333333333333336,1.0,0.0,0.0,0.0,0.0,0.0,1 HP,50.0,Medium Slow,20.0,Medium Slow,1059860.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,Clap,3 stages evolution,Spheal,Level ,Sealeo,Level ,Walrein,,,This Pokémon’s body is covered in blubber and impressively round. It’s faster for Spheal to roll around than walk.
Sealeo,364.0,Sealeo,Todoggler,3.0,III,1.1,87.6,72.4,Ice,Water,Thick Fat,Ice Body,Oblivious,Blue,50.0,50.0,0.0,20.0,Water1,Ground,120.0,144.0,1058960.0,Ordinary,,,90.0,60.0,70.0,75.0,70.0,45.0,410.0,68.33333333333333,2.0,0.0,0.0,0.0,0.0,0.0,2 HP,50.0,Medium Slow,20.0,Medium Slow,1059860.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,Ball Roll,3 stages evolution,Spheal,Level ,Sealeo,Level ,Walrein,,,"Sealeo live on top of drift ice. They go swimming when they’re on the hunt, seeking out their prey by scent."
Walrein,365.0,Walrein,Todoseruga,3.0,III,1.4,150.6,76.8,Ice,Water,Thick Fat,Ice Body,Oblivious,Blue,50.0,50.0,0.0,20.0,Water1,Ground,45.0,265.0,1058960.0,Ordinary,,,110.0,80.0,90.0,95.0,90.0,65.0,530.0,88.33333333333333,3.0,0.0,0.0,0.0,0.0,0.0,3 HP,50.0,Medium Slow,20.0,Medium Slow,1059860.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,Ice Break,3 stages evolution,Spheal,Level ,Sealeo,Level ,Walrein,,,"Walrein form herds of 20 to 30 individuals. When a threat appears, the herd’s leader will protect the group with its life."
Clamperl,366.0,Clamperl,Pearlulu,3.0,III,0.4,52.5,328.1,Water,,Shell Armor,,Rattled,Blue,50.0,50.0,0.0,20.0,Water1,,255.0,69.0,600000.0,Ordinary,,,35.0,64.0,85.0,74.0,55.0,32.0,345.0,57.5,0.0,0.0,1.0,0.0,0.0,0.0,1 Defense,50.0,Erratic,20.0,Erratic,600000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,Bivalve,2 stages evolution with 2 forms,Clamperl,Trade with  Deep Sea Tooth,Huntail,Trade with  Deep Sea Scale,Gorebyss,,,"Despite its appearance, it’s carnivorous. It clamps down on its prey with both sides of its shell and doesn’t let go until they stop moving."
Huntail,367.0,Huntail,Huntail,3.0,III,1.7,27.0,9.3,Water,,Swift Swim,,Water Veil,Blue,50.0,50.0,0.0,20.0,Water1,,60.0,170.0,600000.0,Ordinary,,,55.0,104.0,105.0,94.0,75.0,52.0,485.0,80.83333333333333,0.0,1.0,1.0,0.0,0.0,0.0,"1 Attack, 1 Defense",50.0,Erratic,20.0,Erratic,600000.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,Deep Sea,2 stages evolution with 2 forms,Clamperl,Trade with  Deep Sea Tooth,Huntail,Trade with  Deep Sea Scale,Gorebyss,,,It’s not the strongest swimmer. It wags its tail to lure in its prey and then gulps them down as soon as they get close.
Gorebyss,368.0,Gorebyss,Sakurabyss,3.0,III,1.8,22.6,7.0,Water,,Swift Swim,,Hydration,Pink,50.0,50.0,0.0,20.0,Water1,,60.0,170.0,600000.0,Ordinary,,,55.0,84.0,105.0,114.0,75.0,52.0,485.0,80.83333333333333,0.0,0.0,0.0,2.0,0.0,0.0,2 Special Attack,50.0,Erratic,20.0,Erratic,600000.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,South Sea,2 stages evolution with 2 forms,Clamperl,Trade with  Deep Sea Tooth,Huntail,Trade with  Deep Sea Scale,Gorebyss,,,The color of its body changes with the water temperature. The coloration of Gorebyss in Alola is almost blindingly vivid.
Relicanth,369.0,Relicanth,Glanth,3.0,III,1.0,23.4,23.4,Water,Rock,Swift Swim,Rock Head,Sturdy,Gray,87.5,12.5,0.0,40.0,Water1,Water2,25.0,170.0,1250000.0,Ordinary,,,100.0,90.0,130.0,45.0,65.0,55.0,485.0,80.83333333333333,1.0,0.0,1.0,0.0,0.0,0.0,"1 HP, 1 Defense",50.0,Slow,40.0,Slow,1250000.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Longevity,No evolution,Relicanth,,,,,,,Rock-hard scales and oil-filled swim bladders allow this Pokémon to survive the intense water pressure of the deep sea.
Luvdisc,370.0,Luvdisc,Lovecus,3.0,III,0.6,8.7,24.2,Water,,Swift Swim,,Hydration,Pink,25.0,75.0,0.0,20.0,Water2,,225.0,116.0,800000.0,Ordinary,,,43.0,30.0,55.0,40.0,65.0,97.0,330.0,55.0,0.0,0.0,0.0,0.0,0.0,1.0,1 Speed,50.0,Fast,20.0,Fast,800000.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,Rendezvous,No evolution,Luvdisc,,,,,,,There was an era when it was overfished due to the rumor that having one of its heart-shaped scales would enable you to find a sweetheart.
Bagon,371.0,Bagon,Tatsubay,3.0,III,0.6,42.1,116.9,Dragon,,Rock Head,,Sheer Force,Blue,50.0,50.0,0.0,40.0,Dragon,,45.0,60.0,1250000.0,Ordinary,,,45.0,75.0,60.0,40.0,30.0,50.0,300.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,1 Attack,35.0,Slow,40.0,Slow,1250000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.5,0.5,0.5,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,Rock Head,3 stages evolution,Bagon,Level ,Shelgon,Level ,Salamence,,,"Bagon jumps off cliffs every day, trying to grow stronger so that someday it will be able to fly."
Shelgon,372.0,Shelgon,Komoruu,3.0,III,1.1,110.5,91.3,Dragon,,Rock Head,,Overcoat,White,50.0,50.0,0.0,40.0,Dragon,,45.0,147.0,1250000.0,Ordinary,,,65.0,95.0,100.0,60.0,50.0,50.0,420.0,70.0,0.0,0.0,2.0,0.0,0.0,0.0,2 Defense,35.0,Slow,40.0,Slow,1250000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.5,0.5,0.5,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,Endurance,3 stages evolution,Bagon,Level ,Shelgon,Level ,Salamence,,,This Pokémon has covered its body in a hard shell that has the same composition as bone. Shelgon stores energy for evolution.
Salamence,373.0,Salamence,Bohmander,3.0,III,1.5,102.6,45.6,Dragon,Flying,Intimidate,,Moxie,Blue,50.0,50.0,0.0,40.0,Dragon,,45.0,300.0,1250000.0,Ordinary,,,95.0,135.0,80.0,110.0,80.0,100.0,600.0,100.0,0.0,3.0,0.0,0.0,0.0,0.0,3 Attack,35.0,Slow,40.0,Slow,1250000.0,1.0,0.0,0.0,0.0,0.0,0.0,,Mega Salamence,,1.0,0.5,0.5,1.0,0.25,4.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,2.0,Dragon,3 stages evolution,Bagon,Level ,Shelgon,Level ,Salamence,,,Salamence is an unusual Pokémon in that it was able to evolve a body with wings just by constantly wishing to be able to fly.
Salamence(Mega EV),373.0,Salamence,,3.0,III,1.8,112.6,,Dragon,Flying,Aerilate,,,Blue,50.0,50.0,0.0,40.0,Dragon,,45.0,315.0,1250000.0,Ordinary,Mega,,95.0,145.0,130.0,120.0,90.0,120.0,700.0,,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beldum,374.0,Beldum,Dumbber,3.0,III,0.6,95.2,264.4,Steel,Psychic,Clear Body,,Light Metal,Blue,0.0,0.0,100.0,40.0,Mineral,,3.0,60.0,1250000.0,Ordinary,,,40.0,55.0,80.0,35.0,60.0,30.0,300.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,1 Defense,35.0,Slow,40.0,Slow,1250000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.5,2.0,1.0,1.0,0.5,0.5,1.0,0.0,2.0,0.5,0.25,1.0,0.5,2.0,0.5,2.0,0.5,0.5,Iron Ball,3 stages evolution,Beldum,Level ,Metang,Level ,Metagross,,,"From its rear, Beldum emits a magnetic force that rapidly pulls opponents in. They get skewered on Beldum’s sharp claws."
Metang,375.0,Metang,Metang,3.0,III,1.2,202.5,140.6,Steel,Psychic,Clear Body,,Light Metal,Blue,0.0,0.0,100.0,40.0,Mineral,,3.0,147.0,1250000.0,Ordinary,,,60.0,75.0,100.0,55.0,80.0,50.0,420.0,70.0,0.0,0.0,2.0,0.0,0.0,0.0,2 Defense,35.0,Slow,40.0,Slow,1250000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.5,2.0,1.0,1.0,0.5,0.5,1.0,0.0,2.0,0.5,0.25,1.0,0.5,2.0,0.5,2.0,0.5,0.5,Iron Claw,3 stages evolution,Beldum,Level ,Metang,Level ,Metagross,,,"Two Beldum have become stuck together via their own magnetic forces. With two brains, the resulting Metang has doubled psychic powers."
Metagross,376.0,Metagross,Metagross,3.0,III,1.6,550.0,214.8,Steel,Psychic,Clear Body,,Light Metal,Blue,0.0,0.0,100.0,40.0,Mineral,,3.0,300.0,1250000.0,Ordinary,,,80.0,135.0,130.0,95.0,90.0,70.0,600.0,100.0,0.0,0.0,3.0,0.0,0.0,0.0,3 Defense,35.0,Slow,40.0,Slow,1250000.0,1.0,0.0,0.0,0.0,0.0,0.0,,Mega Metagross,,0.5,2.0,1.0,1.0,0.5,0.5,1.0,0.0,2.0,0.5,0.25,1.0,0.5,2.0,0.5,2.0,0.5,0.5,Iron Leg,3 stages evolution,Beldum,Level ,Metang,Level ,Metagross,,,"Because the magnetic powers of these Pokémon get stronger in freezing temperatures, Metagross living on snowy mountains are full of energy."
Metagross(Mega EV),376.0,Metagross,,3.0,III,2.5,942.9,,Steel,Psychic,Tough Claws,,,Blue,0.0,0.0,100.0,40.0,Mineral,,3.0,315.0,1250000.0,Ordinary,Mega,,80.0,145.0,150.0,105.0,110.0,110.0,700.0,,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regirock,377.0,Regirock,Regirock,3.0,III,1.7,230.0,79.6,Rock,,Clear Body,,Sturdy,Brown,0.0,0.0,100.0,80.0,Undiscovered,,3.0,290.0,1250000.0,Legendary,,,80.0,100.0,200.0,50.0,100.0,50.0,580.0,96.66666666666669,0.0,0.0,3.0,0.0,0.0,0.0,3 Defense,35.0,Slow,80.0,Slow,1250000.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,0.5,0.5,2.0,1.0,2.0,1.0,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,Rock Peak,No evolution,Regirock,,,,,,,"Every bit of Regirock’s body is made of stone. As parts of its body erode, this Pokémon sticks rocks to itself to repair what’s been lost."
Regice,378.0,Regice,Regice,3.0,III,1.8,175.0,54.0,Ice,,Clear Body,,Ice Body,Blue,0.0,0.0,100.0,80.0,Undiscovered,,3.0,290.0,1250000.0,Legendary,,,80.0,50.0,100.0,100.0,200.0,50.0,580.0,96.66666666666669,0.0,0.0,0.0,0.0,3.0,0.0,3 Special Defense,35.0,Slow,80.0,Slow,1250000.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,1.0,2.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,Iceberg,No evolution,Regice,,,,,,,"With cold air that can reach temperatures as low as −328 degrees Fahrenheit, Regice instantly freezes any creature that approaches it."
Registeel,379.0,Registeel,Registeel,3.0,III,1.9,205.0,56.8,Steel,,Clear Body,,Light Metal,Gray,0.0,0.0,100.0,80.0,Undiscovered,,3.0,290.0,1250000.0,Legendary,,,80.0,75.0,150.0,75.0,150.0,50.0,580.0,96.66666666666669,0.0,0.0,2.0,0.0,1.0,0.0,"2 Defense, 1 Special Defense",35.0,Slow,80.0,Slow,1250000.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,0.5,2.0,1.0,1.0,0.5,0.5,2.0,0.0,2.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,Iron,No evolution,Registeel,,,,,,,Registeel’s body is made of a strange material that is flexible enough to stretch and shrink but also more durable than any metal.
Latias(Mega EV),380.0,Latias,,3.0,III,1.8,52.0,,Dragon,Psychic,Levitate,,,Purple,0.0,100.0,0.0,120.0,Undiscovered,,3.0,315.0,1250000.0,Legendary,Mega,,80.0,100.0,120.0,140.0,150.0,110.0,700.0,,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latias,380.0,Latias,Latias,3.0,III,1.4,40.0,20.4,Dragon,Psychic,Levitate,,,Red,0.0,100.0,0.0,120.0,Undiscovered,,3.0,300.0,1250000.0,Legendary,,,80.0,80.0,90.0,110.0,130.0,110.0,600.0,100.0,0.0,0.0,0.0,0.0,3.0,0.0,3 Special Defense,90.0,Slow,120.0,Slow,1250000.0,1.0,1.0,1.0,0.0,0.0,0.0,,Mega Latias,,1.0,0.5,0.5,0.5,0.5,2.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,2.0,2.0,1.0,2.0,Eon,No evolution,Latias,,,,,,,"Latias is highly sensitive to the emotions of people. If it senses any hostility, this Pokémon ruffles the feathers all over its body and cries shrilly to intimidate the foe."
Latios,381.0,Latios,Latios,3.0,III,2.0,60.0,15.0,Dragon,Psychic,Levitate,,,Blue,100.0,0.0,0.0,120.0,Undiscovered,,3.0,300.0,1250000.0,Legendary,,,80.0,90.0,80.0,130.0,110.0,110.0,600.0,100.0,0.0,0.0,0.0,3.0,0.0,0.0,3 Special Attack,90.0,Slow,120.0,Slow,1250000.0,1.0,1.0,1.0,0.0,0.0,0.0,,Mega Latios,,1.0,0.5,0.5,0.5,0.5,2.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,2.0,2.0,1.0,2.0,Eon,No evolution,Latios,,,,,,,Latios has the ability to make others see an image of what it has seen or imagines in its head. This Pokémon is intelligent and understands human speech.
Latios(Mega EV),381.0,Latios,,3.0,III,2.3,70.0,,Dragon,Psychic,Levitate,,,Purple,100.0,0.0,0.0,120.0,Undiscovered,,3.0,315.0,1250000.0,Legendary,Mega,,80.0,130.0,100.0,160.0,120.0,110.0,700.0,,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyogre,382.0,Kyogre,Kyogre,3.0,III,4.5,352.0,17.4,Water,,Drizzle,,,Blue,0.0,0.0,100.0,120.0,Undiscovered,,3.0,335.0,1250000.0,Legendary,,,100.0,100.0,90.0,150.0,140.0,90.0,670.0,111.66666666666669,0.0,0.0,0.0,3.0,0.0,0.0,3 Special Attack,0.0,Slow,120.0,Slow,1250000.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,Sea Basin,No evolution,Kyogre,,,,,,,"Through Primal Reversion and with nature’s full power, it will take back its true form. It can summon storms that cause the sea levels to rise."
Kyogre(Primal),382.0,Kyogre,,3.0,III,9.8,430.0,,Water,,Primordial Sea,,,Blue,0.0,0.0,100.0,120.0,Undiscovered,,3.0,347.0,1250000.0,Legendary,,,100.0,150.0,90.0,180.0,160.0,90.0,770.0,,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groudon,383.0,Groudon,Groudon,3.0,III,3.5,950.0,77.6,Ground,,Drought,,,Red,0.0,0.0,100.0,120.0,Undiscovered,,3.0,335.0,1250000.0,Legendary,,,100.0,150.0,140.0,100.0,90.0,90.0,670.0,111.66666666666669,0.0,3.0,0.0,0.0,0.0,0.0,3 Attack,0.0,Slow,120.0,Slow,1250000.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,Continent,No evolution,Groudon,,,,,,,"Groudon is said to be the personification of the land itself. Legends tell of its many clashes against Kyogre, as each sought to gain the power of nature."
Groudon(Primal),383.0,Groudon,,3.0,III,5.0,999.7,,Ground,Fire,Desolate Land,,,Red,0.0,0.0,100.0,120.0,Undiscovered,,3.0,347.0,1250000.0,Legendary,,,100.0,180.0,160.0,150.0,90.0,90.0,770.0,,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rayquaza,384.0,Rayquaza,Rayquaza,3.0,III,7.0,206.5,4.2,Dragon,Flying,Air Lock,,,Green,0.0,0.0,100.0,120.0,Undiscovered,,45.0,340.0,1250000.0,Legendary,,,105.0,150.0,90.0,150.0,90.0,95.0,680.0,113.33333333333331,0.0,2.0,0.0,1.0,0.0,0.0,"2 Attack, 1 Special Attack",0.0,Slow,120.0,Slow,1250000.0,1.0,1.0,0.0,0.0,0.0,0.0,,Mega Rayquaza,,1.0,0.5,0.5,1.0,0.25,4.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,2.0,Sky High,No evolution,Rayquaza,,,,,,,Rayquaza is said to have lived for hundreds of millions of years. Legends remain of how it put to rest the clash between Kyogre and Groudon.
Rayquaza(Mega EV),384.0,Rayquaza,,3.0,III,10.8,392.0,,Dragon,Flying,Delta Stream,,,Green,0.0,0.0,100.0,120.0,Undiscovered,,45.0,351.0,1250000.0,Legendary,Mega,,105.0,180.0,100.0,180.0,100.0,115.0,780.0,,0.0,2.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jirachi,385.0,Jirachi,Jirachi,3.0,III,0.3,1.1,12.2,Steel,Psychic,Serene Grace,,,Yellow,0.0,0.0,100.0,120.0,Undiscovered,,3.0,300.0,1250000.0,Mythical,,,100.0,100.0,100.0,100.0,100.0,100.0,600.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0,3 HP,100.0,Slow,120.0,Slow,1250000.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,0.5,2.0,1.0,1.0,0.5,0.5,1.0,0.0,2.0,0.5,0.25,1.0,0.5,2.0,0.5,2.0,0.5,0.5,Wish,No evolution,Jirachi,,,,,,,"A legend states that Jirachi will make true any wish that is written on notes attached to its head when it awakens. If this Pokémon senses danger, it will fight without awakening."
Deoxys(Defense),386.0,Deoxys,,3.0,III,1.7,60.8,,Psychic,,Pressure,,,Red,0.0,0.0,100.0,120.0,Undiscovered,,3.0,270.0,1250000.0,Mythical,,,50.0,70.0,160.0,70.0,160.0,90.0,600.0,,0.0,0.0,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deoxys(Normal),386.0,Deoxys,,3.0,III,1.7,60.8,,Psychic,,Pressure,,,Red,0.0,0.0,100.0,120.0,Undiscovered,,3.0,270.0,1250000.0,Mythical,,,50.0,150.0,50.0,150.0,50.0,150.0,600.0,,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deoxys(Speed),386.0,Deoxys,,3.0,III,1.7,60.8,,Psychic,,Pressure,,,Red,0.0,0.0,100.0,120.0,Undiscovered,,3.0,270.0,1250000.0,Mythical,,,50.0,95.0,90.0,95.0,90.0,180.0,600.0,,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deoxys(Attack),386.0,Deoxys,,3.0,III,1.7,60.8,,Psychic,,Pressure,,,Red,0.0,0.0,100.0,120.0,Undiscovered,,3.0,270.0,1250000.0,Mythical,,,50.0,180.0,20.0,180.0,20.0,150.0,600.0,,0.0,2.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turtwig,387.0,Turtwig,Naetle,4.0,IV,0.4,10.2,63.8,Grass,,Overgrow,,Shell Armor,Green,87.5,12.5,0.0,20.0,Monster,Grass,45.0,64.0,1058960.0,Ordinary,,,55.0,68.0,64.0,45.0,55.0,31.0,318.0,53.0,0.0,1.0,0.0,0.0,0.0,0.0,1 Attack,50.0,Medium Slow,20.0,Medium Slow,1059860.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,Tiny Leaf,3 stages evolution,Turtwig,Level ,Grotle,Level ,Torterra,,,Photosynthesis occurs across its body under the sun. The shell on its back is actually hardened soil.
Grotle,388.0,Grotle,Hayashigame,4.0,IV,1.1,97.0,80.2,Grass,,Overgrow,,Shell Armor,Green,87.5,12.5,0.0,20.0,Monster,Grass,45.0,142.0,1058960.0,Ordinary,,,75.0,89.0,85.0,55.0,65.0,36.0,405.0,67.5,0.0,1.0,1.0,0.0,0.0,0.0,"1 Attack, 1 Defense",50.0,Medium Slow,20.0,Medium Slow,1059860.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,Grove,3 stages evolution,Turtwig,Level ,Grotle,Level ,Torterra,,,"It lives along water in forests. In the daytime, it leaves the forest to sunbathe its treed shell."
