,No,Original_Name,Japanese_Name,Generation,Height_m,Weight_kg,Type_1,Type_2,Ability_1,Ability_2,Ability_Hidden,Color,Gender_Male,Gender_Female,Gender_Unknown,Egg_Steps,Egg_Group1,Egg_Group2,Capture_Rate,Base_EXP,Final_EXP,Category,Mega_Evolution _Flag,Region_Forme,HP,Attack,Defense,SP_Attack,SP_Defense,Speed,Total,Mean,PE_HP,PE_Attack,PE_Defense,PE_SP_Attack,PE_SP_Defense,PE_Speed,EV_yield,Base_Friendship,Growth_Rate,Egg_Cycle,Experience type,Experience to level 100,Final Evolution,Is_Legendary,Is_Sublegendary,Is_Mythical,Mega Evolution,Alolan Form,Galarian Form,Gigantamax,Mega_evolution,Mega_evolution_alt,Against Normal,Against Fire,Against Water,Against Electric,Against Grass,Against Ice,Against Fighting,Against Poison,Against Ground,Against Flying,Against Psychic,Against Bug,Against Rock,Against Ghost,Against Dragon,Against Dark,Against Steel,Against Fairy,BMI,Pokemon_Category,Evolution_type,Evochain_0,Evochain_1,Evochain_2,Evochain_3,Evochain_4,Evochain_5,Evochain_6,Description
Dusclops,356,Dusclops,Samayouru,3,1.6,30.6,Ghost,,Pressure,,Frisk,Black,50,50,0,25,Amorphous,,90,159,800000,Ordinary,,,40,70,130,60,130,25,455,75.8,0,0,1,0,1,0,"1 Defense, 1 Special Defense",35,Fast,25,Fast,800000,0,0,0,0,0,0,0,,,,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,1,12,Beckon,3 stages evolution,Duskull,Level ,Dusclops,Trade with  Reaper Cloth,Dusknoir,,,"Its body is entirely hollow. When it opens its mouth, it sucks everything in as if it were a black hole."
Tropius,357,Tropius,Tropius,3,2.0,100.0,Grass,Flying,Chlorophyll,Solar Power,Harvest,Green,50,50,0,25,Monster,Grass,200,161,1250000,Ordinary,,,99,68,83,72,87,51,460,76.7,2,0,0,0,0,0,2 HP,50,Slow,25,Slow,1250000,1,0,0,0,0,0,0,,,,1,2,0.5,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,1,25,Fruit,No evolution,Tropius,,,,,,,The bunches of fruit growing around the necks of Tropius in Alola are especially sweet compared to those in other regions.
Chimecho,358,Chimecho,Chirean,3,0.6,1.0,Psychic,,Levitate,,,Blue,50,50,0,25,Amorphous,,45,159,800000,Ordinary,,,75,50,80,95,90,65,455,75.8,0,0,0,1,1,0,"1 Special Attack, 1 Special Defense",50,Fast,25,Fast,800000,1,0,0,0,0,0,0,,,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,2.8,Wind Chime,2 stages evolution,Chingling,Level Up with Happiness Value at 220 During the Night,Chimecho,,,,,"Chimecho makes its cries echo inside its hollow body. When this Pokémon becomes enraged, its cries result in ultrasonic waves that have the power to knock foes flying."
Absol (Mega EV),359,Absol,,3,1.2,49.0,Dark,,Magic Bounce,,,White,50,50,0,25,Ground,,30,198,1058960,Ordinary,Mega,,65,150,60,115,60,115,565,94.2,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absol,359,Absol,Absol,3,1.2,47.0,Dark,,Pressure,Super Luck,Justified,White,50,50,0,25,Ground,,30,163,1058960,Ordinary,,,65,130,60,75,60,75,465,77.5,0,2,0,0,0,0,2 Attack,35,Medium Slow,25,Medium Slow,1059860,1,0,0,0,0,0,0,,Mega Absol,,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2,32.6,Disaster,No evolution,Absol,,,,,,,"Swift as the wind, Absol races through fields and mountains. Its curved, bow-like horn is acutely sensitive to the warning signs of natural disasters."
Wynaut,360,Wynaut,Sohnano,3,0.6,14.0,Psychic,,Shadow Tag,,Telepathy,Blue,50,50,0,20,Undiscovered,,125,52,1000000,Ordinary,,,95,23,48,23,48,23,260,43.3,1,0,0,0,0,0,1 HP,50,Medium Fast,20,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,38.9,Bright,2 stages evolution,Wynaut,Level ,Wobbuffet,,,,,It tends to move in a pack. Individuals squash against one another to toughen their spirits.
Snorunt,361,Snorunt,Yukiwarashi,3,0.7,16.8,Ice,,Inner Focus,Ice Body,Moody,Gray,50,50,0,20,Fairy,Mineral,190,60,1000000,Ordinary,,,50,50,50,50,50,50,300,50.0,1,0,0,0,0,0,1 HP,50,Medium Fast,20,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,2,1,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,1,34.3,Snow Hat,2 stages evolution with 2 forms,Snorunt,Level,Glalie,"On Female Pokémon, use Dawn Stone",Froslass,,,"It’s said that if they are seen at midnight, they’ll cause heavy snow. They eat snow and ice to survive."
Glalie (Mega EV),362,Glalie,,3,2.1,350.2,Ice,,Refrigerate,,,Gray,50,50,0,20,Fairy,Mineral,75,203,1000000,Ordinary,Mega,,80,120,80,120,80,100,580,96.7,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glalie,362,Glalie,Onigohri,3,1.5,256.5,Ice,,Inner Focus,Ice Body,Moody,Gray,50,50,0,20,Fairy,Mineral,75,168,1000000,Ordinary,,,80,80,80,80,80,80,480,80.0,2,0,0,0,0,0,2 HP,50,Medium Fast,20,Medium Fast,1000000,1,0,0,0,0,0,0,,Mega Glalie,,1,2,1,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,1,114,Face,2 stages evolution with 2 forms,Snorunt,Level,Glalie,"On Female Pokémon, use Dawn Stone",Froslass,,,"It has a body of ice that won’t melt, even with fire. It can instantly freeze moisture in the atmosphere."
Spheal,363,Spheal,Tamazarashi,3,0.8,39.5,Ice,Water,Thick Fat,Ice Body,Oblivious,Blue,50,50,0,20,Water1,Ground,255,58,1058960,Ordinary,,,70,40,50,55,50,25,290,48.3,1,0,0,0,0,0,1 HP,50,Medium Slow,20,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,1,0.5,2,2,0.25,2,1,1,1,1,1,2,1,1,1,1,1,61.7,Clap,3 stages evolution,Spheal,Level ,Sealeo,Level ,Walrein,,,This Pokémon’s body is covered in blubber and impressively round. It’s faster for Spheal to roll around than walk.
Sealeo,364,Sealeo,Todoggler,3,1.1,87.6,Ice,Water,Thick Fat,Ice Body,Oblivious,Blue,50,50,0,20,Water1,Ground,120,144,1058960,Ordinary,,,90,60,70,75,70,45,410,68.3,2,0,0,0,0,0,2 HP,50,Medium Slow,20,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,1,0.5,2,2,0.25,2,1,1,1,1,1,2,1,1,1,1,1,72.4,Ball Roll,3 stages evolution,Spheal,Level ,Sealeo,Level ,Walrein,,,"Sealeo live on top of drift ice. They go swimming when they’re on the hunt, seeking out their prey by scent."
Walrein,365,Walrein,Todoseruga,3,1.4,150.6,Ice,Water,Thick Fat,Ice Body,Oblivious,Blue,50,50,0,20,Water1,Ground,45,265,1058960,Ordinary,,,110,80,90,95,90,65,530,88.3,3,0,0,0,0,0,3 HP,50,Medium Slow,20,Medium Slow,1059860,1,0,0,0,0,0,0,,,,1,1,0.5,2,2,0.25,2,1,1,1,1,1,2,1,1,1,1,1,76.8,Ice Break,3 stages evolution,Spheal,Level ,Sealeo,Level ,Walrein,,,"Walrein form herds of 20 to 30 individuals. When a threat appears, the herd’s leader will protect the group with its life."
Clamperl,366,Clamperl,Pearlulu,3,0.4,52.5,Water,,Shell Armor,,Rattled,Blue,50,50,0,20,Water1,,255,69,600000,Ordinary,,,35,64,85,74,55,32,345,57.5,0,0,1,0,0,0,1 Defense,50,Erratic,20,Erratic,600000,0,0,0,0,0,0,0,,,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,328.1,Bivalve,2 stages evolution with 2 forms,Clamperl,Trade with  Deep Sea Tooth,Huntail,Trade with  Deep Sea Scale,Gorebyss,,,"Despite its appearance, it’s carnivorous. It clamps down on its prey with both sides of its shell and doesn’t let go until they stop moving."
Huntail,367,Huntail,Huntail,3,1.7,27.0,Water,,Swift Swim,,Water Veil,Blue,50,50,0,20,Water1,,60,170,600000,Ordinary,,,55,104,105,94,75,52,485,80.8,0,1,1,0,0,0,"1 Attack, 1 Defense",50,Erratic,20,Erratic,600000,1,0,0,0,0,0,0,,,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,9.3,Deep Sea,2 stages evolution with 2 forms,Clamperl,Trade with  Deep Sea Tooth,Huntail,Trade with  Deep Sea Scale,Gorebyss,,,It’s not the strongest swimmer. It wags its tail to lure in its prey and then gulps them down as soon as they get close.
Gorebyss,368,Gorebyss,Sakurabyss,3,1.8,22.6,Water,,Swift Swim,,Hydration,Pink,50,50,0,20,Water1,,60,170,600000,Ordinary,,,55,84,105,114,75,52,485,80.8,0,0,0,2,0,0,2 Special Attack,50,Erratic,20,Erratic,600000,1,0,0,0,0,0,0,,,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,7,South Sea,2 stages evolution with 2 forms,Clamperl,Trade with  Deep Sea Tooth,Huntail,Trade with  Deep Sea Scale,Gorebyss,,,The color of its body changes with the water temperature. The coloration of Gorebyss in Alola is almost blindingly vivid.
Relicanth,369,Relicanth,Glanth,3,1.0,23.4,Water,Rock,Swift Swim,Rock Head,Sturdy,Gray,87.5,12.5,0,40,Water1,Water2,25,170,1250000,Ordinary,,,100,90,130,45,65,55,485,80.8,1,0,1,0,0,0,"1 HP, 1 Defense",50,Slow,40,Slow,1250000,1,0,0,0,0,0,0,,,,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1,23.4,Longevity,No evolution,Relicanth,,,,,,,Rock-hard scales and oil-filled swim bladders allow this Pokémon to survive the intense water pressure of the deep sea.
Luvdisc,370,Luvdisc,Lovecus,3,0.6,8.7,Water,,Swift Swim,,Hydration,Pink,25,75,0,20,Water2,,225,116,800000,Ordinary,,,43,30,55,40,65,97,330,55.0,0,0,0,0,0,1,1 Speed,50,Fast,20,Fast,800000,1,0,0,0,0,0,0,,,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,24.2,Rendezvous,No evolution,Luvdisc,,,,,,,There was an era when it was overfished due to the rumor that having one of its heart-shaped scales would enable you to find a sweetheart.
Bagon,371,Bagon,Tatsubay,3,0.6,42.1,Dragon,,Rock Head,,Sheer Force,Blue,50,50,0,40,Dragon,,45,60,1250000,Ordinary,,,45,75,60,40,30,50,300,50.0,0,1,0,0,0,0,1 Attack,35,Slow,40,Slow,1250000,0,0,0,0,0,0,0,,,,1,0.5,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1,2,1,1,2,116.9,Rock Head,3 stages evolution,Bagon,Level ,Shelgon,Level ,Salamence,,,"Bagon jumps off cliffs every day, trying to grow stronger so that someday it will be able to fly."
Shelgon,372,Shelgon,Komoruu,3,1.1,110.5,Dragon,,Rock Head,,Overcoat,White,50,50,0,40,Dragon,,45,147,1250000,Ordinary,,,65,95,100,60,50,50,420,70.0,0,0,2,0,0,0,2 Defense,35,Slow,40,Slow,1250000,0,0,0,0,0,0,0,,,,1,0.5,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1,2,1,1,2,91.3,Endurance,3 stages evolution,Bagon,Level ,Shelgon,Level ,Salamence,,,This Pokémon has covered its body in a hard shell that has the same composition as bone. Shelgon stores energy for evolution.
Salamence,373,Salamence,Bohmander,3,1.5,102.6,Dragon,Flying,Intimidate,,Moxie,Blue,50,50,0,40,Dragon,,45,300,1250000,Ordinary,,,95,135,80,110,80,100,600,100.0,0,3,0,0,0,0,3 Attack,35,Slow,40,Slow,1250000,1,0,0,0,0,0,0,,Mega Salamence,,1,0.5,0.5,1,0.25,4,0.5,1,0,1,1,0.5,2,1,2,1,1,2,45.6,Dragon,3 stages evolution,Bagon,Level ,Shelgon,Level ,Salamence,,,Salamence is an unusual Pokémon in that it was able to evolve a body with wings just by constantly wishing to be able to fly.
Salamence (Mega EV),373,Salamence,,3,1.8,112.6,Dragon,Flying,Aerilate,,,Blue,50,50,0,40,Dragon,,45,315,1250000,Ordinary,Mega,,95,145,130,120,90,120,700,116.7,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beldum,374,Beldum,Dumbber,3,0.6,95.2,Steel,Psychic,Clear Body,,Light Metal,Blue,0,0,100,40,Mineral,,3,60,1250000,Ordinary,,,40,55,80,35,60,30,300,50.0,0,0,1,0,0,0,1 Defense,35,Slow,40,Slow,1250000,0,0,0,0,0,0,0,,,,0.5,2,1,1,0.5,0.5,1,0,2,0.5,0.25,1,0.5,2,0.5,2,0.5,0.5,264.4,Iron Ball,3 stages evolution,Beldum,Level ,Metang,Level ,Metagross,,,"From its rear, Beldum emits a magnetic force that rapidly pulls opponents in. They get skewered on Beldum’s sharp claws."
Metang,375,Metang,Metang,3,1.2,202.5,Steel,Psychic,Clear Body,,Light Metal,Blue,0,0,100,40,Mineral,,3,147,1250000,Ordinary,,,60,75,100,55,80,50,420,70.0,0,0,2,0,0,0,2 Defense,35,Slow,40,Slow,1250000,0,0,0,0,0,0,0,,,,0.5,2,1,1,0.5,0.5,1,0,2,0.5,0.25,1,0.5,2,0.5,2,0.5,0.5,140.6,Iron Claw,3 stages evolution,Beldum,Level ,Metang,Level ,Metagross,,,"Two Beldum have become stuck together via their own magnetic forces. With two brains, the resulting Metang has doubled psychic powers."
Metagross,376,Metagross,Metagross,3,1.6,550.0,Steel,Psychic,Clear Body,,Light Metal,Blue,0,0,100,40,Mineral,,3,300,1250000,Ordinary,,,80,135,130,95,90,70,600,100.0,0,0,3,0,0,0,3 Defense,35,Slow,40,Slow,1250000,1,0,0,0,0,0,0,,Mega Metagross,,0.5,2,1,1,0.5,0.5,1,0,2,0.5,0.25,1,0.5,2,0.5,2,0.5,0.5,214.8,Iron Leg,3 stages evolution,Beldum,Level ,Metang,Level ,Metagross,,,"Because the magnetic powers of these Pokémon get stronger in freezing temperatures, Metagross living on snowy mountains are full of energy."
Metagross (Mega EV),376,Metagross,,3,2.5,942.9,Steel,Psychic,Tough Claws,,,Blue,0,0,100,40,Mineral,,3,315,1250000,Ordinary,Mega,,80,145,150,105,110,110,700,116.7,0,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regirock,377,Regirock,Regirock,3,1.7,230.0,Rock,,Clear Body,,Sturdy,Brown,0,0,100,80,Undiscovered,,3,290,1250000,Legendary,,,80,100,200,50,100,50,580,96.7,0,0,3,0,0,0,3 Defense,35,Slow,80,Slow,1250000,1,1,1,0,0,0,0,,,,0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,1,79.6,Rock Peak,No evolution,Regirock,,,,,,,"Every bit of Regirock’s body is made of stone. As parts of its body erode, this Pokémon sticks rocks to itself to repair what’s been lost."
Regice,378,Regice,Regice,3,1.8,175.0,Ice,,Clear Body,,Ice Body,Blue,0,0,100,80,Undiscovered,,3,290,1250000,Legendary,,,80,50,100,100,200,50,580,96.7,0,0,0,0,3,0,3 Special Defense,35,Slow,80,Slow,1250000,1,1,1,0,0,0,0,,,,1,2,1,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,1,54,Iceberg,No evolution,Regice,,,,,,,"With cold air that can reach temperatures as low as −328 degrees Fahrenheit, Regice instantly freezes any creature that approaches it."
Registeel,379,Registeel,Registeel,3,1.9,205.0,Steel,,Clear Body,,Light Metal,Gray,0,0,100,80,Undiscovered,,3,290,1250000,Legendary,,,80,75,150,75,150,50,580,96.7,0,0,2,0,1,0,"2 Defense, 1 Special Defense",35,Slow,80,Slow,1250000,1,1,1,0,0,0,0,,,,0.5,2,1,1,0.5,0.5,2,0,2,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5,56.8,Iron,No evolution,Registeel,,,,,,,Registeel’s body is made of a strange material that is flexible enough to stretch and shrink but also more durable than any metal.
Latias (Mega EV),380,Latias,,3,1.8,52.0,Dragon,Psychic,Levitate,,,Purple,0,100,0,120,Undiscovered,,3,315,1250000,Legendary,Mega,,80,100,120,140,150,110,700,116.7,0,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latias,380,Latias,Latias,3,1.4,40.0,Dragon,Psychic,Levitate,,,Red,0,100,0,120,Undiscovered,,3,300,1250000,Legendary,,,80,80,90,110,130,110,600,100.0,0,0,0,0,3,0,3 Special Defense,90,Slow,120,Slow,1250000,1,1,1,0,0,0,0,,Mega Latias,,1,0.5,0.5,0.5,0.5,2,0.5,1,1,1,0.5,2,1,2,2,2,1,2,20.4,Eon,No evolution,Latias,,,,,,,"Latias is highly sensitive to the emotions of people. If it senses any hostility, this Pokémon ruffles the feathers all over its body and cries shrilly to intimidate the foe."
Latios,381,Latios,Latios,3,2.0,60.0,Dragon,Psychic,Levitate,,,Blue,100,0,0,120,Undiscovered,,3,300,1250000,Legendary,,,80,90,80,130,110,110,600,100.0,0,0,0,3,0,0,3 Special Attack,90,Slow,120,Slow,1250000,1,1,1,0,0,0,0,,Mega Latios,,1,0.5,0.5,0.5,0.5,2,0.5,1,1,1,0.5,2,1,2,2,2,1,2,15,Eon,No evolution,Latios,,,,,,,Latios has the ability to make others see an image of what it has seen or imagines in its head. This Pokémon is intelligent and understands human speech.
Latios (Mega EV),381,Latios,,3,2.3,70.0,Dragon,Psychic,Levitate,,,Purple,100,0,0,120,Undiscovered,,3,315,1250000,Legendary,Mega,,80,130,100,160,120,110,700,116.7,0,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyogre,382,Kyogre,Kyogre,3,4.5,352.0,Water,,Drizzle,,,Blue,0,0,100,120,Undiscovered,,3,335,1250000,Legendary,,,100,100,90,150,140,90,670,111.7,0,0,0,3,0,0,3 Special Attack,0,Slow,120,Slow,1250000,1,1,0,0,0,0,0,,,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,17.4,Sea Basin,No evolution,Kyogre,,,,,,,"Through Primal Reversion and with nature’s full power, it will take back its true form. It can summon storms that cause the sea levels to rise."
Kyogre (Primal),382,Kyogre,,3,9.8,430.0,Water,,Primordial Sea,,,Blue,0,0,100,120,Undiscovered,,3,347,1250000,Legendary,,,100,150,90,180,160,90,770,128.3,0,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groudon,383,Groudon,Groudon,3,3.5,950.0,Ground,,Drought,,,Red,0,0,100,120,Undiscovered,,3,335,1250000,Legendary,,,100,150,140,100,90,90,670,111.7,0,3,0,0,0,0,3 Attack,0,Slow,120,Slow,1250000,1,1,0,0,0,0,0,,,,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,77.6,Continent,No evolution,Groudon,,,,,,,"Groudon is said to be the personification of the land itself. Legends tell of its many clashes against Kyogre, as each sought to gain the power of nature."
Groudon (Primal),383,Groudon,,3,5.0,999.7,Ground,Fire,Desolate Land,,,Red,0,0,100,120,Undiscovered,,3,347,1250000,Legendary,,,100,180,160,150,90,90,770,128.3,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rayquaza,384,Rayquaza,Rayquaza,3,7.0,206.5,Dragon,Flying,Air Lock,,,Green,0,0,100,120,Undiscovered,,45,340,1250000,Legendary,,,105,150,90,150,90,95,680,113.3,0,2,0,1,0,0,"2 Attack, 1 Special Attack",0,Slow,120,Slow,1250000,1,1,0,0,0,0,0,,Mega Rayquaza,,1,0.5,0.5,1,0.25,4,0.5,1,0,1,1,0.5,2,1,2,1,1,2,4.2,Sky High,No evolution,Rayquaza,,,,,,,Rayquaza is said to have lived for hundreds of millions of years. Legends remain of how it put to rest the clash between Kyogre and Groudon.
Rayquaza (Mega EV),384,Rayquaza,,3,10.8,392.0,Dragon,Flying,Delta Stream,,,Green,0,0,100,120,Undiscovered,,45,351,1250000,Legendary,Mega,,105,180,100,180,100,115,780,130.0,0,2,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jirachi,385,Jirachi,Jirachi,3,0.3,1.1,Steel,Psychic,Serene Grace,,,Yellow,0,0,100,120,Undiscovered,,3,300,1250000,Mythical,,,100,100,100,100,100,100,600,100.0,3,0,0,0,0,0,3 HP,100,Slow,120,Slow,1250000,1,1,0,1,0,0,0,,,,0.5,2,1,1,0.5,0.5,1,0,2,0.5,0.25,1,0.5,2,0.5,2,0.5,0.5,12.2,Wish,No evolution,Jirachi,,,,,,,"A legend states that Jirachi will make true any wish that is written on notes attached to its head when it awakens. If this Pokémon senses danger, it will fight without awakening."
Deoxys (Defense),386,Deoxys,,3,1.7,60.8,Psychic,,Pressure,,,Red,0,0,100,120,Undiscovered,,3,270,1250000,Mythical,,,50,70,160,70,160,90,600,100.0,0,0,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deoxys (Normal),386,Deoxys,,3,1.7,60.8,Psychic,,Pressure,,,Red,0,0,100,120,Undiscovered,,3,270,1250000,Mythical,,,50,150,50,150,50,150,600,100.0,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deoxys (Speed),386,Deoxys,,3,1.7,60.8,Psychic,,Pressure,,,Red,0,0,100,120,Undiscovered,,3,270,1250000,Mythical,,,50,95,90,95,90,180,600,100.0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deoxys (Attack),386,Deoxys,,3,1.7,60.8,Psychic,,Pressure,,,Red,0,0,100,120,Undiscovered,,3,270,1250000,Mythical,,,50,180,20,180,20,150,600,100.0,0,2,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turtwig,387,Turtwig,Naetle,4,0.4,10.2,Grass,,Overgrow,,Shell Armor,Green,87.5,12.5,0,20,Monster,Grass,45,64,1058960,Ordinary,,,55,68,64,45,55,31,318,53.0,0,1,0,0,0,0,1 Attack,50,Medium Slow,20,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,63.8,Tiny Leaf,3 stages evolution,Turtwig,Level ,Grotle,Level ,Torterra,,,Photosynthesis occurs across its body under the sun. The shell on its back is actually hardened soil.
Grotle,388,Grotle,Hayashigame,4,1.1,97.0,Grass,,Overgrow,,Shell Armor,Green,87.5,12.5,0,20,Monster,Grass,45,142,1058960,Ordinary,,,75,89,85,55,65,36,405,67.5,0,1,1,0,0,0,"1 Attack, 1 Defense",50,Medium Slow,20,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,80.2,Grove,3 stages evolution,Turtwig,Level ,Grotle,Level ,Torterra,,,"It lives along water in forests. In the daytime, it leaves the forest to sunbathe its treed shell."
Torterra,389,Torterra,Dodaitose,4,2.2,310.0,Grass,Ground,Overgrow,,Shell Armor,Green,87.5,12.5,0,20,Monster,Grass,45,236,1058960,Ordinary,,,95,109,105,75,85,56,525,87.5,0,2,1,0,0,0,"2 Attack, 1 Defense",50,Medium Slow,20,Medium Slow,1059860,1,0,0,0,0,0,0,,,,1,2,1,0,1,4,1,1,0.5,2,1,2,0.5,1,1,1,1,1,64,Continent,3 stages evolution,Turtwig,Level ,Grotle,Level ,Torterra,,,"Ancient people imagined that beneath the ground, a gigantic Torterra dwelled."
Chimchar,390,Chimchar,Hikozaru,4,0.5,6.2,Fire,,Blaze,,Iron Fist,Brown,87.5,12.5,0,20,Ground,Human-Like,45,62,1058960,Ordinary,,,44,58,44,58,44,61,309,51.5,0,0,0,0,0,1,1 Speed,50,Medium Slow,20,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,24.8,Chimp,3 stages evolution,Chimchar,Level ,Monferno,Level ,Infernape,,,Its fiery rear end is fueled by gas made in its belly. Even rain can’t extinguish the fire.
Monferno,391,Monferno,Moukazaru,4,0.9,22.0,Fire,Fighting,Blaze,,Iron Fist,Brown,87.5,12.5,0,20,Ground,Human-Like,45,142,1058960,Ordinary,,,64,78,52,78,52,81,405,67.5,0,0,0,1,0,1,"1 Special Attack, 1 Speed",50,Medium Slow,20,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1,27.2,Playful,3 stages evolution,Chimchar,Level ,Monferno,Level ,Infernape,,,It skillfully controls the intensity of the fire on its tail to keep its foes at an ideal distance.
Infernape,392,Infernape,Goukazaru,4,1.2,55.0,Fire,Fighting,Blaze,,Iron Fist,Brown,87.5,12.5,0,20,Ground,Human-Like,45,240,1058960,Ordinary,,,76,104,71,104,71,108,534,89.0,0,1,0,1,0,1,"1 Attack, 1 Special Attack, 1 Speed",50,Medium Slow,20,Medium Slow,1059860,1,0,0,0,0,0,0,,,,1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1,38.2,Flame,3 stages evolution,Chimchar,Level ,Monferno,Level ,Infernape,,,Its crown of fire is indicative of its fiery nature. It is beaten by none in terms of quickness.
Piplup,393,Piplup,Pochama,4,0.4,5.2,Water,,Torrent,,Defiant,Blue,87.5,12.5,0,20,Water1,Ground,45,63,1058960,Ordinary,,,53,51,53,61,56,40,314,52.3,0,0,0,1,0,0,1 Special Attack,50,Medium Slow,20,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,32.5,Penguin,3 stages evolution,Piplup,Level ,Prinplup,Level ,Empoleon,,,It doesn’t like to be taken care of. It’s difficult to bond with since it won’t listen to its Trainer.
Prinplup,394,Prinplup,Pottaishi,4,0.8,23.0,Water,,Torrent,,Defiant,Blue,87.5,12.5,0,20,Water1,Ground,45,142,1058960,Ordinary,,,64,66,68,81,76,50,405,67.5,0,0,0,2,0,0,2 Special Attack,50,Medium Slow,20,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,35.9,Penguin,3 stages evolution,Piplup,Level ,Prinplup,Level ,Empoleon,,,"It lives alone, away from others. Apparently, every one of them believes it is the most important."
Empoleon,395,Empoleon,Emperte,4,1.7,84.5,Water,Steel,Torrent,,Defiant,Blue,87.5,12.5,0,20,Water1,Ground,45,239,1058960,Ordinary,,,84,86,88,111,101,60,530,88.3,0,0,0,3,0,0,3 Special Attack,50,Medium Slow,20,Medium Slow,1059860,1,0,0,0,0,0,0,,,,0.5,1,0.5,2,1,0.25,2,0,2,0.5,0.5,0.5,0.5,1,0.5,1,0.25,0.5,29.2,Emperor,3 stages evolution,Piplup,Level ,Prinplup,Level ,Empoleon,,,It swims as fast as a jet boat. The edges of its wings are sharp and can slice apart drifting ice.
